Defect Name, Bulk Energy, Correction Energy
Bulk/, -759.37375536, 0
I_Rb_0/, -756.09267383, 0
I_Rb_-1/, -753.21062517, 0.0770304
I_Rb_1/, -757.86386139, 0.0770304
I_Rb_-2/, -751.20855216, 0.308122
I_Rb_-3/, -747.72082132, 0.693274
I_Sb_0/, -753.85106233, 0
I_Sb_-1/, -751.44931345, 0.0770304
I_Sb_1/, -755.89280732, 0.0770304
I_Sb_-2/, -749.93582424, 0.308122
I_Sb_-3/, -746.12004904, 0.693274
I_Sb_-4/, -743.40602970, 1.23249
Rb_I_0/, -759.04820630, 0
Rb_I_-1/, -755.57296237, 0.0770304
Rb_I_1/, -761.96716109, 0.0770304
Rb_I_2/, -764.77440311, 0.308122
Rb_I_3/, -766.55720153, 0.693274
Rb_Sb_0/, -755.66855560, 0
Rb_Sb_-1/, -753.91464259, 0.0770304
Rb_Sb_1/, -757.39914527, 0.0770304
Rb_Sb_-2/, -752.10883290, 0.308122
Rb_Sb_-3/, -748.63596884, 0.693274
Sb_I_0/, -759.75743241, 0
Sb_I_-1/, -756.88417113, 0.0770304
Sb_I_1/, -762.29417507, 0.0770304
Sb_I_2/, -764.89550197, 0.308122
Sb_I_3/, -766.72455034, 0.693274
Sb_I_4/, -768.51570592, 1.23249
Sb_Rb_0/, -758.34469578, 0
Sb_Rb_-1/, -754.89579090, 0.0770304
Sb_Rb_1/, -761.10032316, 0.0770304
Sb_Rb_2/, -764.00421779, 0.308122
Sb_Rb_3/, -765.80575533, 0.693274
Va_I_0/, -756.75185858, 0
Va_I_-1/, -753.66499265, 0.0770304
Va_I_1/, -759.67995544, 0.0770304
Va_I_2/, -761.43538299, 0.308122
Va_Rb_0/, -754.99508649, 0
Va_Rb_-1/, -753.23382600, 0.0770304
Va_Rb_1/, -756.71917945, 0.0770304
Va_Rb_-2/, -749.76819314, 0.308122
Va_Sb_0/, -752.57004294, 0
Va_Sb_-1/, -750.90705546, 0.0770304
Va_Sb_1/, -755.16214982, 0.0770304
Va_Sb_-2/, -748.34678638, 0.308122
Va_Sb_-3/, -746.28087669, 0.693274
Va_Sb_-4/, -742.83315840, 1.23249
